time,test 1,test 2,test 3,test 4,test 5
time - seconds (computed after test),deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg
0.003055,0.012025374,0.275797711,0.372472071,0.031981772,-0.098812257
0.003056,0.074449734,0.413130711,0.619673871,0.276684832,0.003563183
0.003057,0.146861734,0.502085211,0.872489871,0.541051032,0.055999503
0.003058,0.169334134,0.534857711,1.072871871,0.722392332,0.108435743
0.003059,0.121891734,0.500524711,1.213325871,0.735503332,0.213308543
0.00306,0.041988974,0.445903711,1.241417871,0.624075232,0.348144543
0.003061,-0.030423066,0.406888711,1.115945871,0.536680932,0.428047743
0.003062,-0.059138266,0.361631211,0.960509871,0.554159932,0.443029343
0.003063,-0.069125866,0.277358211,0.836909871,0.624075232,0.453017343
0.003064,-0.111574266,0.161873711,0.763871871,0.661217232,0.500459743
0.003065,-0.181489466,0.072919211,0.658997871,0.663401932,0.550398943
0.003066,-0.183986666,0.019858711,0.496071471,0.619705132,0.502956543
0.003067,-0.130301866,-0.045686689,0.303181071,0.484244632,0.385598943
0.003068,-0.085356266,-0.104989789,0.127144671,0.348784132,0.298205343
0.003069,-0.102835066,-0.122156289,-0.007691289,0.272314732,0.223296543
0.00307,-0.170253066,-0.114353289,-0.114436329,0.178366332,0.113429343
0.003071,-0.222689466,-0.104989789,-0.211818129,0.016687822,-0.023903457
0.003072,-0.218943866,-0.083141289,-0.297963729,-0.134066768,-0.053867057
0.003073,-0.242665066,-0.017595789,-0.365381529,-0.197427268,0.028532863
0.003074,-0.331307466,0.040146561,-0.384108729,-0.171208768,0.098447743
0.003075,-0.474881866,0.085404211,-0.357890529,-0.160284568,0.138399743
0.003076,-0.629693866,0.115055711,-0.282981729,-0.125327268,0.168362943
0.003077,-0.714589866,0.136904211,-0.170618529,-0.051042358,0.188338943
0.003078,-0.729573866,0.111934211,-0.080727729,0.038536292,0.200823743
0.003079,-0.723329866,-0.008232189,-0.060127329,0.082233232,0.190835743
0.00308,-0.727077866,-0.145565289,-0.090091329,0.088788032,0.175854143
0.003081,-0.722081866,-0.257928789,-0.144400329,0.040721132,0.210811743
0.003082,-0.700857866,-0.318792289,-0.176236329,-0.000790912,0.258254143
0.003083,-0.690869866,-0.381216289,-0.208072929,-0.033563568,0.240774943
0.003084,-0.723329866,-0.446761789,-0.271745529,-0.090369268,0.118423743
0.003085,-0.758289866,-0.523232289,-0.378490929,-0.123142568,-0.021406497
0.003086,-0.778265866,-0.601262289,-0.502090329,-0.158099868,-0.096315457
0.003087,-0.774517866,-0.662127289,-0.618198129,-0.208351468,-0.126279457
0.003088,-0.725829866,-0.688657289,-0.696852129,-0.258602368,-0.161236257
0.003089,-0.635937866,-0.715187289,-0.709962129,-0.306669268,-0.223661057
0.00309,-0.543549866,-0.721427289,-0.696852129,-0.337257168,-0.273600257
0.003091,-0.478629866,-0.737032289,-0.717456129,-0.394062868,-0.293575457
0.003092,-0.451161866,-0.768247289,-0.760524129,-0.485826568,-0.323539457
0.003093,-0.406217866,-0.813502289,-0.816708129,-0.564481368,-0.321042657
0.003094,-0.371257866,-0.879047289,-0.844800129,-0.616917668,-0.278593857
0.003095,-0.347537866,-0.908702289,-0.841056129,-0.671538668,-0.263612257
0.003096,-0.346289466,-0.899337289,-0.861654129,-0.728343668,-0.313551457
0.003097,-0.371257866,-0.872807289,-0.912216129,-0.763301668,-0.443393857
0.003098,-0.372505866,-0.893092289,-0.968400129,-0.776412668,-0.583224257
0.003099,-0.326313466,-0.914942289,-1.032072129,-0.765485668,-0.700581057
0.0031,-0.256398666,-0.899337289,-1.075146129,-0.769853668,-0.723053857
0.003101,-0.207707466,-0.819747289,-1.080762129,-0.772044668,-0.710569057
0.003102,-0.157768266,-0.746397289,-1.050798129,-0.800443668,-0.700581057
0.003103,-0.060386666,-0.702702289,-1.017090129,-0.833217668,-0.735538657
0.003104,0.058219254,-0.665247289,-1.030200129,-0.874727668,-0.800460257
0.003105,0.144364534,-0.605942289,-1.110726129,-0.944643668,-0.840414657
0.003106,0.179322134,-0.556002289,-1.213728129,-0.981785668,-0.827926657
0.003107,0.154352534,-0.534157289,-1.258674129,-0.975233668,-0.775490657
0.003108,0.085685734,-0.499822289,-1.230582129,-0.924980668,-0.650641857
0.003109,0.022013254,-0.429595289,-1.144434129,-0.852880668,-0.495829857
0.00311,-0.019186666,-0.325034789,-1.028328129,-0.791707668,-0.398448257
0.003111,-0.027926266,-0.226716789,-0.906600129,-0.765485668,-0.363490657
0.003112,-0.030423066,-0.119035289,-0.754908129,-0.730527668,-0.365987457
0.003113,-0.080362266,-0.061292789,-0.633180129,-0.656244368,-0.405939457
0.003114,-0.145283466,-0.075338289,-0.567636129,-0.588514468,-0.425914657
0.003115,-0.186483466,-0.140883289,-0.562017729,-0.586329768,-0.415927457
0.003116,-0.206459066,-0.218913789,-0.575127129,-0.643135468,-0.400945057
0.003117,-0.213949866,-0.231398789,-0.606966129,-0.713048668,-0.383466657
0.003118,-0.221441066,-0.187701789,-0.629436129,-0.717423668,-0.365987457
0.003119,-0.253901466,-0.150247289,-0.627564129,-0.634395968,-0.385963457
0.00312,-0.346289466,-0.125277289,-0.569508729,-0.531708068,-0.440897057
0.003121,-0.472385866,-0.139322789,-0.442163529,-0.466162868,-0.503321057
